Rooms,Type,Price,Method,Regionname,Bathroom,Car,Landsize,Distance,Bedroom
3,h,1490000,S,Northern Metropolitan,1,1,126,25.2,2
3,h,1220000,S,Northern Metropolitan,1,1,202,21.8,2
3,h,1420000,S,Northern Metropolitan,1,0,156,21.7,2
3,h,1515000,S,Western Metropolitan,2,1,0,18.8,3
2,h,670000,S,Western Metropolitan,2,0,134,20.6,3
2,t,530000,S,Western Metropolitan,2,1,94,17.5,3
2,u,540000,S,Western Metropolitan,1,2,120,21.3,3
3,h,715000,SP,Western Metropolitan,2,2,400,19.9,3
3,h,1925000,S,Southern Metropolitan,2,1,202,23.2,4
3,u,515000,S,Western Metropolitan,1,0,181,18.8,3
4,h,717000,S,Western Metropolitan,2,0,245,14.0,2
2,h,1675000,S,Northern Metropolitan,2,1,4292,23.4,4
4,h,2008000,S,Northern Metropolitan,2,0,230,19.1,2
2,h,860000,SP,Western Metropolitan,1,2,256,22.6,6
2,u,836000,S,Southern Metropolitan,1,1,0,15.6,2
2,h,2110000,S,Southern Metropolitan,1,2,220,18.4,1
2,u,580000,VB,Southern Metropolitan,1,1,176,20.0,3
3,t,1610000,S,Southern Metropolitan,2,1,0,22.7,2
4,h,996000,S,South-Eastern Metropolitan,1,1,195,17.2,2
4,h,825000,SP,Western Metropolitan,1,2,238,18.2,3
2,u,660800,SP,Southern Metropolitan,2,2,0,17.3,2
2,t,700000,PI,Southern Metropolitan,2,1,113,21.2,2
3,u,955000,S,Southern Metropolitan,1,1,138,22.5,1
4,h,1810000,S,Southern Metropolitan,1,0,183,21.4,2
4,h,1850000,PI,Southern Metropolitan,1,1,150,26.9,3
4,h,2600000,VB,Southern Metropolitan,2,1,119,16.6,3
3,h,1220000,VB,Southern Metropolitan,2,2,0,24.0,2
4,h,2470000,PI,Southern Metropolitan,2,2,4290,22.0,3
2,u,800000,PI,Southern Metropolitan,2,1,124,19.0,2
4,h,880000,S,Eastern Metropolitan,1,0,147,15.0,4
4,h,1435000,S,Southern Metropolitan,3,1,166,18.4,3
3,u,675000,SP,Eastern Metropolitan,1,1,0,15.7,3
4,t,1300000,VB,Southern Metropolitan,2,2,98,18.6,3
3,h,1340000,S,Southern Metropolitan,3,1,0,25.3,2
3,h,1400000,S,Southern Metropolitan,2,2,147,19.1,2
