Cases_Guinea,Cases_Liberia,Cases_SierraLeone,Cases_Nigeria,Cases_Senegal,Cases_UnitedStates,Cases_Spain,Cases_Mali,Deaths_Guinea,Deaths_Liberia,Deaths_SierraLeone,Deaths_Nigeria,Deaths_Senegal,Deaths_UnitedStates,Deaths_Spain,Deaths_Mali
2776,,10030,,,,,,1786,,2977,,,,,
2775,,9780,,,,,,1781,,2943,,,,,
2769,8166,9722,,,20,,,1767,3496,2915,,,3,,
,8157,,,,10,,,,3496,,,,8,,
,,,,,,,,,,,,,,,
2730,8115,9633,,,7,,,1739,3471,2827,,,5,,
2706,8018,9446,,,17,,,1708,3423,2758,,,12,,
2695,,9409,,,11,,,1697,,2732,,,2,,
2630,7977,9203,,,10,,,,3413,2655,,,6,,
2597,,9004,,,1,,,1607,,2582,,,,,
2571,7862,8939,,,7,,,1586,3384,2556,,,6,,
,7830,,,,9,,,,3376,,,,9,,
2416,,8356,,,16,,,1525,,2085,,,4,,
,7797,,,,14,,,,3290,,,,11,,
2292,,7897,20,1,21,1,7,1428,,1768,8,0,13,0,6
,7719,,,,10,,,,3177,,,,7,,
2164,,7312,20,1,34,1,7,1327,,1583,8,0,30,0,6
,7635,,,,3,,,,3145,,,,,,
2134,,6599,20,1,5,1,7,1260,,1398,8,0,2,0,6
,7168,,,,6,,,,3016,,,,3,,
2047,7082,6190,20,1,26,1,6,1214,2963,1267,8,0,7,0,6
,,,,,,,,,,,,,,,
1971,,6073,20,1,,1,5,1192,,1250,8,0,,0,5
,7069,,,,,,,,2964,,,,,,
1919,,5586,20,1,,1,4,1166,,1187,8,0,,0,3
,6878,,,,13,,,,2812,,,,10,,
1878,,5368,20,1,8,1,1,1142,,1169,8,0,7,0,1
,6822,,,,17,,,,2836,,,,12,,
,6619,4862,20,1,20,1,1,,2766,1130,8,0,5,0,1
1760,,,,,2,,,1054,,,,,,,
1731,,4759,20,1,6,1,1,1041,,1070,8,0,4,0,1
,6525,,,,31,,,,2697,,,,20,,
1667,,5338,20,1,7,1,1,1018,,1510,8,0,5,0,1
1906,,5235,20,1,31,1,1,997,,1500,8,0,9,0,1
,6535,,,,8,,,,2413,,,,2,,
,,3896,,,15,1,1,,,1281,,,11,0,1
1553,,,,,13,,,926,,,,,,,
1540,,3706,20,1,8,1,,904,,1259,8,0,1,0,
,4665,,,,19,,,,2705,,,,15,,
,,,,,,,,,,,,,,,
1519,,3410,20,1,12,1,,862,,1200,8,0,5,1,
,4262,,,,18,,,,2484,,,,16,,
1472,,3252,20,1,10,1,,843,,1183,8,0,7,1,
,4249,,,,10,,,,2458,,,,10,,
,,2950,20,1,23,1,,,,930,8,0,22,1,
1350,4076,,,,16,,,778,2316,,,,15,,
1298,,2789,20,1,,,,768,,879,8,0,,,
,3924,,,,,,,,2210,,,,,,
1199,3834,2437,20,1,,,,739,2069,623,8,0,,,
1157,3696,2304,20,1,,,,710,1998,622,8,0,,,
1074,3458,2021,20,1,,,,648,1830,605,8,0,,,
1022,3280,1940,20,1,,,,635,1677,597,8,0,,,
,,1813,,,23,,,,,593,,,19,,
1008,,,,,,,,632,,,,,,,
,3022,,,,6,,,,1578,,,,2,,
942,2710,1673,,,,,,601,1459,562,,,,,
936,,1620,21,1,8,,,595,1296,562,8,0,,,
899,,1478,21,1,25,,,568,,536,8,,14,,
,2407,,,,,,,,,,,,,,
861,2081,1424,21,3,23,,,557,1137,524,8,0,10,,
812,1871,1261,22,1,23,,,517,1089,491,8,,17,,
771,1698,1216,21,1,12,,,494,871,476,7,,7,,
648,1378,1026,17,,4,,,430,694,422,6,,1,,
607,1082,910,16,,17,,,406,624,392,5,,1,,
579,972,907,15,,14,,,396,576,374,4,,6,,
,,,,,13,,,,,,,,9,,
543,834,848,15,,16,,,394,466,365,4,,1,,
519,786,810,12,,27,,,380,413,348,4,,21,,
510,670,783,12,,1,,,377,355,334,3,,,,
506,599,730,13,,22,,,373,323,315,2,,12,,
495,554,717,13,,27,,,367,294,298,2,,4,,
495,516,691,9,,12,,,363,282,286,1,,9,,
485,468,646,4,,,,,358,255,273,1,,,,
472,391,574,3,,11,,,346,227,252,1,,3,,
460,329,533,1,,27,,,339,156,233,1,,26,,
427,249,525,0,,7,,,319,129,224,0,,1,,
415,224,454,,,15,,,314,127,219,,,13,,
410,196,442,,,17,,,310,116,206,,,,,
411,174,397,,,20,,,310,106,197,,,,,
406,172,386,,,6,,,304,105,194,,,1,,
409,142,337,,,13,,,309,88,142,,,,,
408,131,305,,,7,,,307,84,127,,,,,
412,115,252,,,13,,,305,75,101,,,,,
413,107,239,,,19,,,303,65,99,,,,,
,51,,,,4,,,,34,,,,,,
390,,158,,,16,,,270,,34,,,,,
,41,,,,5,,,,25,,,,3,,
390,,136,,,5,,,267,,28,,,5,,
,,97,,,20,,,,,49,,,12,,
398,33,,,,13,,,264,24,,,,,,
351,13,89,,,22,,,226,24,7,,,,,
,13,81,,,,,,,,6,,,,,
344,13,,,,,,,215,12,6,,,,,
328,13,79,,,,,,208,12,6,,,,,
291,13,50,,,,,,193,12,6,,,,,
281,12,16,,,,,,186,11,5,,,,,
258,12,0,,,,,,174,11,0,,,,,
248,12,0,,,,,,171,11,0,,,,,
233,12,0,,,,,,157,11,0,,,,,
,,,,,,,,,,,,,,,
236,13,0,,,,,,158,11,0,,,,,
235,13,0,,,,,,157,11,0,,,,,
231,13,0,,,,,,155,11,0,,,,,
226,13,0,,,,,,149,11,0,,,,,
224,,0,,,,,,143,,0,,,,,
,35,0,,,,,,,,0,,,,,
218,,0,,,,,,141,,0,,,,,
,,0,,,,,,,,0,,,,,
,34,,,,,,,,11,,,,,,
208,,,,,,,,136,6,,,,,,
203,27,,,,,,,129,,,,,,,
197,27,,,,,,,122,13,,,,,,
,,12,,,,,,,,,,,,,
168,,,,,,,,108,,,,,,,
159,26,2,,,,,,106,13,2,,,,,
158,25,2,,,,,,101,12,2,,,,,
